대륙별+국가별,성별,under_10,g10,g20,g30,g40,g50,g60,over_70,대륙
모나코,남    ,0,1,1,1,3,0,1,0,유럽
모나코,여    ,0,0,2,1,2,3,1,0,유럽
안도라,여    ,0,1,0,0,0,1,0,0,유럽
바티칸,남    ,0,0,0,0,0,0,0,0,유럽
페로섬,남    ,0,1,2,3,5,0,0,0,유럽
페로섬,여    ,1,0,3,1,0,1,2,1,유럽
지브롤터,남    ,0,0,1,1,1,1,2,0,유럽
지브롤터,여    ,0,0,1,0,0,1,0,0,유럽
스발바르,남    ,0,0,0,0,1,0,0,0,유럽
스발바르,여    ,0,1,0,1,0,0,0,0,유럽
오스트레일리아,남    ,4386,8514,24498,19773,14803,9838,5331,1022,대양주
오스트레일리아,여    ,4062,8796,32859,16040,13715,13167,5884,1128,대양주
뉴질랜드,남    ,1957,5021,3879,5148,7294,4912,2847,697,대양주
뉴질랜드,여    ,1800,4599,5212,5491,6861,6179,3146,751,대양주
키리바시,남    ,0,0,0,1,0,1,0,0,대양주
키리바시,여    ,0,0,1,0,0,0,0,0,대양주
피지,남    ,220,315,683,998,622,483,295,62,대양주
피지,여    ,213,334,1186,778,586,595,295,31,대양주
괌,남    ,8774,2703,7371,17374,6980,2465,1621,390,대양주
괌,여    ,8353,2994,15272,16257,5104,3056,1841,425,대양주
파푸아뉴기니,남    ,5,5,9,22,32,19,6,3,대양주
파푸아뉴기니,여    ,1,2,4,11,5,2,3,1,대양주
사모아,남    ,0,0,0,1,2,3,0,0,대양주
사모아,여    ,0,1,1,1,0,1,1,0,대양주
북마리아나 군도,남    ,5139,1668,4980,11823,5155,2169,1093,220,대양주
북마리아나 군도,여    ,5008,1878,10769,10557,3623,2220,1115,200,대양주
솔로몬군도,남    ,0,0,0,5,2,0,2,0,대양주
솔로몬군도,여    ,0,0,0,0,0,1,0,0,대양주
통가,남    ,0,0,0,1,2,1,2,0,대양주
통가,여    ,0,0,0,1,0,0,0,0,대양주
팔라우,남    ,228,126,506,1029,582,293,121,24,대양주
팔라우,여    ,179,134,1025,889,416,344,140,33,대양주
미크로네시아,남    ,1,1,2,4,9,0,0,0,대양주
미크로네시아,여    ,0,0,5,1,1,1,1,0,대양주
코코스,남    ,0,0,0,0,0,0,0,0,대양주
코코스,여    ,0,0,0,0,0,0,0,0,대양주
마샬군도,남    ,16,1,6,26,12,7,4,0,대양주
마샬군도,여    ,13,1,31,32,3,6,5,0,대양주
비누아투,남    ,0,0,0,0,0,1,1,0,대양주
비누아투,여    ,0,0,0,0,0,1,0,0,대양주
나우루,남    ,0,0,2,0,0,0,0,0,대양주
나우루,여    ,0,0,1,0,0,0,0,0,대양주
미령 사모아,남    ,0,0,0,0,2,0,1,0,대양주
불령 남태평양섬,남    ,0,0,0,0,0,0,0,0,대양주
불령 남태평양섬,여    ,0,1,0,0,0,0,1,0,대양주
토켈라우,남    ,0,0,0,0,0,1,0,0,대양주
캐롤라인 군도,남    ,0,0,0,0,2,1,0,0,대양주
캐롤라인 군도,여    ,0,0,0,0,2,0,0,0,대양주
쿡아일랜드,남    ,0,0,0,1,0,0,0,0,대양주
쿡아일랜드,여    ,0,1,2,0,1,0,0,0,대양주
마라아나 군도,남    ,15,3,12,17,22,5,6,0,대양주
마라아나 군도,여    ,16,4,23,29,12,8,6,0,대양주
노폴크,여    ,0,0,0,0,0,0,0,0,대양주
뉴칼레도니아,남    ,1,2,1,2,2,1,0,0,대양주
뉴칼레도니아,여    ,0,0,3,0,0,1,1,0,대양주
불령폴리네시아,남    ,0,0,2,5,0,2,1,0,대양주
불령폴리네시아,여    ,0,0,6,0,1,0,0,0,대양주
월리스푸투나,여    ,0,0,1,0,0,0,0,0,대양주
크리스마스,남    ,0,0,2,2,1,0,0,0,대양주
크리스마스,여    ,0,0,1,0,1,0,0,0,대양주
