generation,sido,sex,country,value,region
g60,서울,여자,페루,1,중남미
g60,부산,여자,보스니아 헤르체고비나,1,유럽
g60,부산,여자,영국,1,유럽
g60,부산,여자,일본,1,아시아
g60,부산,여자,중국,1,아시아
g60,부산,여자,크로아티아,1,유럽
g60,대구,남자,미국,1,북미
g60,인천,여자,중국,1,아시아
g60,광주,여자,중국,1,아시아
g60,울산,여자,미국,1,북미
g60,경기,남자,인도네시아,1,아시아
g60,경기,남자,일본,1,아시아
g60,경기,남자,중국,1,아시아
g60,경기,남자,필리핀,1,아시아
g60,경기,여자,노르웨이,1,유럽
g60,경기,여자,대만,1,아시아
g60,경기,여자,라오스,1,아시아
g60,경기,여자,러시아,1,유럽
g60,경기,여자,스웨덴,1,유럽
g60,경기,여자,일본,1,아시아
g60,경기,여자,중국,1,아시아
g60,강원,남자,베트남,1,아시아
g60,강원,남자,일본,1,아시아
g60,강원,여자,뉴질랜드,1,대양주
g60,강원,여자,마카오,1,아시아
g60,강원,여자,베트남,1,아시아
g60,강원,여자,일본,1,아시아
g60,강원,여자,중국,1,아시아
g60,강원,여자,홍콩,1,아시아
g60,충북,남자,중국,1,아시아
g60,충북,여자,중국,1,아시아
g60,충남,남자,일본,1,아시아
g60,충남,여자,일본,1,아시아
g60,충남,여자,중국,1,아시아
g60,충남,여자,태국,1,아시아
g60,전북,남자,인도네시아,1,아시아
g60,전북,남자,일본,1,아시아
g60,전북,남자,중국,1,아시아
g60,전북,여자,독일,1,유럽
g60,전북,여자,호주,1,대양주
g60,전북,여자,일본,1,아시아
g60,전북,여자,중국,1,아시아
g60,전북,여자,체코,1,유럽
g60,전북,여자,헝가리,1,유럽
g60,전남,남자,네덜란드,1,유럽
g60,전남,남자,독일,1,유럽
g60,전남,남자,스위스,1,유럽
g60,전남,남자,오스트리아,1,유럽
g60,전남,남자,이탈리아,1,유럽
g60,전남,남자,체코,1,유럽
g60,전남,남자,프랑스,1,유럽
g60,경북,여자,대만,1,아시아
g60,경북,여자,베트남,1,아시아
g60,경북,여자,일본,1,아시아
g60,경북,여자,캄보디아,1,아시아
g60,경남,남자,일본,1,아시아
g60,경남,남자,중국,1,아시아
g60,경남,여자,네팔,1,아시아
g60,경남,여자,베트남,1,아시아
g60,경남,여자,영국,1,유럽
g60,경남,여자,인도,1,아시아
g60,경남,여자,일본,1,아시아
g60,경남,여자,중국,1,아시아
g_over60,서울,남자,러시아,1,유럽
g_over60,서울,남자,몰타,1,유럽
g_over60,서울,남자,미국,1,북미
g_over60,서울,남자,베트남,1,아시아
g_over60,서울,남자,스페인,1,유럽
g_over60,서울,남자,이탈리아,1,유럽
g_over60,서울,남자,일본,1,아시아
g_over60,서울,남자,중국,1,아시아
g_over60,서울,남자,프랑스,1,유럽
g_over60,서울,여자,괌,1,대양주
g_over60,서울,여자,독일,1,유럽
g_over60,서울,여자,일본,1,아시아
g_over60,서울,여자,중국,1,아시아
g_over60,부산,여자,베트남,1,아시아
g_over60,부산,여자,중국,1,아시아
g_over60,경기,남자,일본,1,아시아
g_over60,경기,남자,중국,1,아시아
g_over60,경기,남자,필리핀,1,아시아
g_over60,경기,여자,그리스,1,유럽
g_over60,경기,여자,이스라엘,1,중동
g_over60,경기,여자,이집트,1,중동
g_over60,경기,여자,일본,1,아시아
g_over60,경기,여자,태국,1,아시아
g_over60,경기,여자,필리핀,1,아시아
g_over60,강원,남자,대만,1,아시아
g_over60,강원,남자,중국,1,아시아
g_over60,충북,여자,일본,1,아시아
g_over60,충남,남자,이스라엘,1,중동
g_over60,충남,남자,탄자니아,1,아프리카
g_over60,충남,여자,일본,1,아시아
g_over60,전남,남자,일본,1,아시아
g_over60,전남,남자,중국,1,아시아
g_over60,전남,여자,일본,1,아시아
g_over60,경남,여자,일본,1,아시아
g_over60,경남,여자,중국,1,아시아
g_over60,제주,여자,태국,1,아시아
