"","age_cut","sido","q6_1","nn"
"346","g60","울산","034                                           ",1
"347","g60","울산","125                                           ",1
"348","g60","울산","149                                           ",1
"349","g60","울산","154                                           ",1
"350","g60","울산","171                                           ",1
"351","g60","울산","182                                           ",1
"352","g60","울산","201                                           ",1
"353","g60","울산","229                                           ",1
"354","g60","울산","235                                           ",1
"355","g60","경기","008                                           ",1
"356","g60","경기","034                                           ",1
"357","g60","경기","082                                           ",1
"358","g60","경기","124                                           ",1
"359","g60","경기","149                                           ",1
"360","g60","경기","154                                           ",1
"361","g60","경기","167                                           ",1
"362","g60","경기","170                                           ",1
"363","g60","경기","171                                           ",1
"364","g60","경기","176                                           ",2
"365","g60","경기","182                                           ",1
"366","g60","경기","207                                           ",1
"367","g60","경기","227                                           ",1
"368","g60","경기","235                                           ",1
"369","g60","강원","171                                           ",1
"370","g60","강원","176                                           ",1
"371","g60","충남","030                                           ",1
"372","g60","충남","171                                           ",1
"373","g60","충남","176                                           ",1
"374","g60","전북","171                                           ",1
"375","g60","전북","176                                           ",1
"376","g60","전북","207                                           ",1
"377","g60","전남","026                                           ",1
"378","g60","전남","034                                           ",1
"379","g60","전남","122                                           ",1
"380","g60","전남","153                                           ",1
"381","g60","전남","154                                           ",1
"382","g60","전남","168                                           ",1
"383","g60","전남","176                                           ",1
"384","g60","전남","207                                           ",1
"385","g60","전남","229                                           ",1
"386","g60","경북","070                                           ",1
"387","g60","경북","171                                           ",1
"388","g60","경북","176                                           ",1
"389","g60","경남","036                                           ",1
"390","g60","경남","171                                           ",2
"391","g60","경남","176                                           ",1
"392","g60","경남","236                                           ",1
"393","g_over60","서울","030                                           ",1
"394","g_over60","서울","070                                           ",1
"395","g_over60","서울","082                                           ",1
"396","g_over60","서울","171                                           ",1
"397","g_over60","서울","176                                           ",2
"398","g_over60","서울","188                                           ",1
"399","g_over60","부산","171                                           ",1
"400","g_over60","인천","176                                           ",1
"401","g_over60","광주","232                                           ",1
"402","g_over60","대전","171                                           ",1
"403","g_over60","경기","011                                           ",1
"404","g_over60","경기","039                                           ",1
"405","g_over60","경기","070                                           ",1
"406","g_over60","경기","082                                           ",2
"407","g_over60","경기","128                                           ",1
"408","g_over60","경기","176                                           ",2
"409","g_over60","경기","208                                           ",1
"410","g_over60","강원","171                                           ",1
"411","g_over60","충남","071                                           ",1
"412","g_over60","충남","206                                           ",1
"413","g_over60","충남","236                                           ",1
"414","g_over60","전북","176                                           ",1
"415","g_over60","전남","123                                           ",1
"416","g_over60","전남","171                                           ",2
"417","g_over60","전남","176                                           ",1
"418","g_over60","전남","207                                           ",1
"419","g_over60","경남","153                                           ",1
"420","g_over60","경남","171                                           ",1
"421","g_over60","제주","070                                           ",1
