"TIME","GEO","AGE","UNIT","SEX","Value","Flag and Footnotes"
"1984","United States","Total","Percentage of total population","Total",":",""
"1984","United States","Total","Percentage of active population","Total","7.5",""
"1984","Japan","Total","Thousand persons","Total","1,608",""
"1984","Japan","Total","Percentage of total population","Total",":",""
"1984","Japan","Total","Percentage of active population","Total","2.7",""
"1985","European Union (28 countries)","Total","Thousand persons","Total",":",""
"1985","European Union (28 countries)","Total","Percentage of total population","Total",":",""
"1985","European Union (28 countries)","Total","Percentage of active population","Total",":",""
"1985","European Union (27 countries)","Total","Thousand persons","Total",":",""
"1985","European Union (27 countries)","Total","Percentage of total population","Total",":",""
"1985","European Union (27 countries)","Total","Percentage of active population","Total",":",""
"1985","European Union (25 countries)","Total","Thousand persons","Total",":",""
"1985","European Union (25 countries)","Total","Percentage of total population","Total",":",""
"1985","European Union (25 countries)","Total","Percentage of active population","Total",":",""
"1985","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Total","Thousand persons","Total",":",""
"1985","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Total","Percentage of total population","Total",":",""
"1985","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Total","Percentage of active population","Total",":",""
"1985","Euro area (19 countries)","Total","Thousand persons","Total",":",""
"1985","Euro area (19 countries)","Total","Percentage of total population","Total",":",""
"1985","Euro area (19 countries)","Total","Percentage of active population","Total",":",""
"1985","Euro area (18 countries)","Total","Thousand persons","Total",":",""
"1985","Euro area (18 countries)","Total","Percentage of total population","Total",":",""
"1985","Euro area (18 countries)","Total","Percentage of active population","Total",":",""
"1985","Belgium","Total","Thousand persons","Total",":",""
"1985","Belgium","Total","Percentage of total population","Total",":",""
"1985","Belgium","Total","Percentage of active population","Total",":",""
"1985","Bulgaria","Total","Thousand persons","Total",":",""
"1985","Bulgaria","Total","Percentage of total population","Total",":",""
"1985","Bulgaria","Total","Percentage of active population","Total",":",""
"1985","Czech Republic","Total","Thousand persons","Total",":",""
"1985","Czech Republic","Total","Percentage of total population","Total",":",""
"1985","Czech Republic","Total","Percentage of active population","Total",":",""
"1985","Denmark","Total","Thousand persons","Total","182",""
"1985","Denmark","Total","Percentage of total population","Total",":",""
"1985","Denmark","Total","Percentage of active population","Total","6.7",""
"1985","Germany (until 1990 former territory of the FRG)","Total","Thousand persons","Total",":",""
"1985","Germany (until 1990 former territory of the FRG)","Total","Percentage of total population","Total",":",""
"1985","Germany (until 1990 former territory of the FRG)","Total","Percentage of active population","Total",":",""
"1985","Estonia","Total","Thousand persons","Total",":",""
"1985","Estonia","Total","Percentage of total population","Total",":",""
"1985","Estonia","Total","Percentage of active population","Total",":",""
"1985","Ireland","Total","Thousand persons","Total","217",""
"1985","Ireland","Total","Percentage of total population","Total",":",""
"1985","Ireland","Total","Percentage of active population","Total","16.8",""
"1985","Greece","Total","Thousand persons","Total",":",""
"1985","Greece","Total","Percentage of total population","Total",":",""
"1985","Greece","Total","Percentage of active population","Total",":",""
"1985","Spain","Total","Thousand persons","Total",":",""
"1985","Spain","Total","Percentage of total population","Total",":",""
"1985","Spain","Total","Percentage of active population","Total",":",""
"1985","France","Total","Thousand persons","Total","2,194",""
"1985","France","Total","Percentage of total population","Total",":",""
"1985","France","Total","Percentage of active population","Total","8.7",""
"1985","Croatia","Total","Thousand persons","Total",":",""
"1985","Croatia","Total","Percentage of total population","Total",":",""
"1985","Croatia","Total","Percentage of active population","Total",":",""
"1985","Italy","Total","Thousand persons","Total","1,853","p"
"1985","Italy","Total","Percentage of total population","Total",":",""
"1985","Italy","Total","Percentage of active population","Total","8.2","p"
"1985","Cyprus","Total","Thousand persons","Total",":",""
"1985","Cyprus","Total","Percentage of total population","Total",":",""
"1985","Cyprus","Total","Percentage of active population","Total",":",""
"1985","Latvia","Total","Thousand persons","Total",":",""
"1985","Latvia","Total","Percentage of total population","Total",":",""
"1985","Latvia","Total","Percentage of active population","Total",":",""
"1985","Lithuania","Total","Thousand persons","Total",":",""
"1985","Lithuania","Total","Percentage of total population","Total",":",""
"1985","Lithuania","Total","Percentage of active population","Total",":",""
"1985","Luxembourg","Total","Thousand persons","Total","4",""
"1985","Luxembourg","Total","Percentage of total population","Total",":",""
"1985","Luxembourg","Total","Percentage of active population","Total","2.9",""
"1985","Hungary","Total","Thousand persons","Total",":",""
"1985","Hungary","Total","Percentage of total population","Total",":",""
"1985","Hungary","Total","Percentage of active population","Total",":",""
