"행정구역(구)별","경제활동별","2010","2010","2010","2010","2010","2010","2010","2010","2010","2009","2009","2009","2009","2009","2009","2009","2009","2009","2008","2008","2008","2008","2008","2008","2008","2008","2008","2007","2007","2007","2007","2007","2007","2007","2007","2007","2006","2006","2006","2006","2006","2006","2006","2006","2006","2005","2005","2005","2005","2005","2005","2005","2005","2005"
"행정구역(구)별","경제활동별","산출액(당해년 가격)","중간소비","지역내총부가가치(당해년가격)","고정자본소모","지역내순생산","순기타생산세","지역내요소소득","산출액(2005년 기준년가격)","지역내총부가가치(2005년 기준년가격)","산출액(당해년 가격)","중간소비","지역내총부가가치(당해년가격)","고정자본소모","지역내순생산","순기타생산세","지역내요소소득","산출액(2005년 기준년가격)","지역내총부가가치(2005년 기준년가격)","산출액(당해년 가격)","중간소비","지역내총부가가치(당해년가격)","고정자본소모","지역내순생산","순기타생산세","지역내요소소득","산출액(2005년 기준년가격)","지역내총부가가치(2005년 기준년가격)","산출액(당해년 가격)","중간소비","지역내총부가가치(당해년가격)","고정자본소모","지역내순생산","순기타생산세","지역내요소소득","산출액(2005년 기준년가격)","지역내총부가가치(2005년 기준년가격)","산출액(당해년 가격)","중간소비","지역내총부가가치(당해년가격)","고정자본소모","지역내순생산","순기타생산세","지역내요소소득","산출액(2005년 기준년가격)","지역내총부가가치(2005년 기준년가격)","산출액(당해년 가격)","중간소비","지역내총부가가치(당해년가격)","고정자본소모","지역내순생산","순기타생산세","지역내요소소득","산출액(2005년 기준년가격)","지역내총부가가치(2005년 기준년가격)"
"동      구","금융및보험업","658,035","304,415","353,620","19,717","333,903","1,995","331,908","636,199","343,870","740,315","354,573","385,741","21,790","363,951","2,153","361,798","753,464","403,806","748,897","351,888","397,010","24,414","372,596","1,982","370,614","734,821","398,547","828,683","392,276","436,407","25,362","411,045","3,250","407,795","833,699","447,741","750,351","345,171","405,180","24,815","380,365","3,020","377,345","751,841","410,930","678,477","274,191","404,286","22,636","381,650","2,276","379,374","678,477","404,286"
"동      구","부동산업및임대업","273,225","63,212","210,013","67,778","142,235","16,836","125,399","256,046","193,752","268,048","61,908","206,140","64,314","141,826","17,028","124,798","253,163","189,635","279,662","64,247","215,415","61,508","153,907","17,442","136,465","393,669","204,684","283,435","63,560","219,875","63,968","155,907","22,257","133,650","276,027","208,990","331,156","80,229","250,927","73,362","177,565","19,293","158,272","481,752","366,645","301,290","73,060","228,230","64,148","164,082","13,452","150,630","301,290","228,230"
"동      구","사업서비스업","353,173","136,603","216,570","9,622","206,949","1,056","205,893","307,458","186,108","218,757","80,084","138,673","5,854","132,819","717","132,102","195,461","122,665","233,964","88,057","145,908","6,087","139,820","702","139,118","211,777","131,006","251,973","95,047","156,926","6,311","150,615","960","149,655","238,046","144,241","193,627","70,517","123,110","5,409","117,701","676","117,025","187,637","117,675","305,897","113,912","191,985","9,337","182,648","969","181,679","305,897","191,985"
"동      구","공공행정,국방및사회보장행정","186,028","37,999","148,028","90,046","57,982","14","57,968","159,547","126,757","192,312","19,354","172,957","66,684","106,274","14","106,260","167,811","150,105","161,153","9,611","151,542","64,516","87,026","12","87,014","145,505","136,472","192,003","42,698","149,305","30,944","118,361","14","118,347","181,457","139,881","265,192","52,646","212,546","43,557","168,989","17","168,972","257,760","206,247","263,174","55,010","208,164","38,644","169,520","16","169,504","263,174","208,164"
"동      구","교육서비스업","485,700","98,030","387,670","35,406","352,264","323","351,941","399,729","319,333","516,235","116,738","399,497","37,911","361,587","361","361,225","432,040","334,585","361,145","72,803","288,342","24,000","264,342","395","263,947","308,164","245,703","417,715","75,861","341,854","27,401","314,453","479","313,974","377,934","306,419","367,050","67,215","299,835","22,514","277,321","166","277,155","352,113","287,204","331,029","58,452","272,577","21,067","251,510","141","251,369","331,029","272,577"
"동      구","보건업및사회복지서비스업","438,225","204,843","233,383","25,627","207,756","563","207,192","380,793","200,033","388,973","182,564","206,409","22,715","183,694","495","183,199","345,726","181,800","333,501","155,540","177,960","19,373","158,587","435","158,152","302,674","156,609","352,224","169,253","182,971","21,219","161,752","402","161,350","333,627","167,845","302,040","144,151","157,889","17,857","140,032","148","139,884","294,762","152,334","127,987","48,108","79,879","6,884","72,995","16","72,979","127,987","79,879"
"동      구","예술,스포츠및여가관련서비스업","56,078","25,946","30,132","3,031","27,101","1,063","26,037","50,859","28,123","52,614","47,407","5,207","3,011","2,196","984","1,212","48,000","3,611","38,989","16,908","22,081","2,295","19,786","584","19,202","36,861","21,072","53,633","23,246","30,387","3,029","27,358","259","27,099","52,235","29,583","52,795","23,124","29,671","2,926","26,745","57","26,688","52,577","29,814","48,217","21,301","26,916","2,666","24,250","45","24,205","48,217","26,916"
"동      구","기타서비스업","150,168","83,451","66,718","4,104","62,614","1,038","61,576","129,176","56,128","135,451","73,196","62,255","4,638","57,617","805","56,812","119,326","53,879","137,603","73,531","64,072","5,072","59,000","678","58,322","124,760","57,731","107,393","52,143","55,250","4,040","51,210","158","51,052","102,842","52,462","93,418","45,207","48,211","3,385","44,826","35","44,791","91,747","47,418","106,491","57,446","49,045","3,676","45,369","39","45,330","106,491","49,045"
"서     구","총부가가치(기초가격)","15,591,957","9,900,903","5,691,053","557,963","5,133,090","51,384","5,081,707","13,294,507","5,004,603","13,096,491","7,896,875","5,199,616","540,808","4,658,808","50,621","4,608,187","11,845,578","4,669,758","13,969,961","8,690,167","5,279,794","600,004","4,679,790","44,939","4,634,851","13,234,872","4,980,096","12,951,028","8,038,035","4,912,993","626,217","4,286,776","59,472","4,227,304","13,418,275","4,797,888","12,216,262","7,555,721","4,660,541","583,085","4,077,456","51,785","4,025,671","12,498,482","4,583,649","10,839,312","6,547,640","4,291,672","546,122","3,745,550","39,547","3,706,003","10,839,312","4,291,672"
"서     구","농림어업","32,894","13,078","19,816","1,899","17,917","1,195","16,722","25,720","16,226","31,216","13,715","17,501","1,463","16,038","1,152","14,886","28,384","18,154","31,585","13,799","17,786","1,531","16,255","568","15,687","30,475","19,245","27,687","10,496","17,191","1,306","15,885","571","15,314","26,325","17,380","27,301","10,132","17,169","1,341","15,828","555","15,273","26,455","17,432","29,533","11,588","17,945","1,401","16,544","460","16,084","29,533","17,945"
