"","date","place","CO2","O3","CO","SO2","TinyDust","MicroDust","Year","Month","Day","date2"
"158",20170519,"도봉구",0.026,0.048,0.6,0.007,46,26,"2017","05","19",2017-05-19
"159",20170519,"양천구",0.031,0.037,0.4,0.006,40,29,"2017","05","19",2017-05-19
"160",20170519,"강변북로",0.061,0.021,0.5,0.006,58,NA,"2017","05","19",2017-05-19
"161",20170519,"용산구",0.032,0.026,0.3,0.005,38,25,"2017","05","19",2017-05-19
"162",20170519,"동작대로",0.066,0.028,0.6,0.007,61,NA,"2017","05","19",2017-05-19
"163",20170519,"동대문구",0.03,0.04,0.5,0.007,41,21,"2017","05","19",2017-05-19
"164",20170519,"종로구",0.036,0.048,0.5,0.006,42,24,"2017","05","19",2017-05-19
"165",20170519,"서대문구",0.032,0.044,0.5,0.008,47,33,"2017","05","19",2017-05-19
"166",20170519,"성북구",0.035,0.04,0.5,0.006,52,28,"2017","05","19",2017-05-19
"167",20170519,"강남대로",0.074,0.021,0.6,0.006,56,NA,"2017","05","19",2017-05-19
"168",20170519,"광진구",0.03,0.053,0.4,0.005,42,23,"2017","05","19",2017-05-19
"169",20170519,"구로구",0.02,0.044,0.5,0.007,48,23,"2017","05","19",2017-05-19
"170",20170519,"영등포로",0.071,0.017,0.5,0.007,60,NA,"2017","05","19",2017-05-19
"171",20170519,"화랑로",0.05,0.028,0.7,0.005,62,NA,"2017","05","19",2017-05-19
"172",20170519,"천호대로",0.052,0.032,0.5,0.005,48,27,"2017","05","19",2017-05-19
"173",20170519,"한강대로",0.054,0.035,0.5,0.006,61,NA,"2017","05","19",2017-05-19
"174",20170519,"청계천로",0.048,0.037,0.6,0.007,50,32,"2017","05","19",2017-05-19
"175",20170519,"노원구",0.033,0.046,0.5,0.004,43,25,"2017","05","19",2017-05-19
"176",20170519,"신촌로",0.072,0.019,0.9,0.007,54,35,"2017","05","19",2017-05-19
"177",20170519,"성동구",0.034,0.028,0.4,0.005,63,27,"2017","05","19",2017-05-19
"178",20170519,"은평구",0.034,0.041,0.4,0.008,49,25,"2017","05","19",2017-05-19
"179",20170519,"송파구",0.034,0.042,0.5,0.005,57,27,"2017","05","19",2017-05-19
"180",20170519,"공항대로",0.05,0.036,0.4,0.006,62,34,"2017","05","19",2017-05-19
"181",20170519,"정릉로",0.04,0.043,0.6,0.008,56,27,"2017","05","19",2017-05-19
