"행정구역(구)별","경제활동별","2005","2005","2006","2006","2007","2007","2008","2008","2009","2009","2010","2010"
"행정구역(구)별","경제활동별","당해년가격 (백만원)","2005년 기준년가격 (백만원)","당해년가격 (백만원)","2005년 기준년가격 (백만원)","당해년가격 (백만원)","2005년 기준년가격 (백만원)","당해년가격 (백만원)","2005년 기준년가격 (백만원)","당해년가격 (백만원)","2005년 기준년가격 (백만원)","당해년가격 (백만원)","2005년 기준년가격 (백만원)"
"광 산 구","숙박및음식점업","69,822","69,822","76,467","73,951","82,925","77,955","88,460","83,244","65,775","62,710","92,773","86,982"
"광 산 구","정보및통신업","92,550","92,550","266,672","269,517","250,340","275,078","101,527","109,894","105,472","114,990","104,728","120,799"
"광 산 구","금융및보험업","132,595","132,595","125,119","128,882","129,925","139,616","87,014","87,078","86,474","90,751","94,587","90,216"
"광 산 구","부동산업및임대업","286,165","286,165","318,910","309,095","368,028","346,499","398,663","375,784","426,476","392,362","436,570","403,435"
"광 산 구","사업서비스업","77,971","77,971","135,876","130,917","79,497","72,395","123,796","100,031","148,612","123,434","116,777","95,173"
"광 산 구","공공행정,국방및사회보장행정","191,275","191,275","198,304","192,331","265,653","248,749","463,400","417,178","415,096","359,708","447,976","383,355"
"광 산 구","교육서비스업","316,892","316,892","364,441","350,938","396,435","361,762","454,670","396,089","394,419","330,565","447,345","366,192"
"광 산 구","보건업및사회복지서비스업","167,277","167,277","171,292","165,948","210,607","195,132","231,128","208,748","286,275","257,191","309,632","271,510"
"광 산 구","예술,스포츠및여가관련서비스업","23,847","23,847","25,848","26,200","26,296","26,204","31,480","31,331","49,649","47,600","39,649","37,507"
"광 산 구","기타서비스업","131,367","131,367","110,008","108,246","205,015","198,345","192,368","182,392","205,972","202,418","202,226","196,989"
